Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
November 30 2022,San Joaquin,CA,Passenger,1,0,1,91,92,1.09
October 31 2020,Hillsborough,FL,Passenger,0,1,1,180,181,0.55
January 31 2022,District of Columbia,DC,Passenger,4,0,4,176,180,2.22
January 31 2021,Santa Clara,CA,Passenger,8,2,10,288,298,3.36
May 31 2022,Asotin,WA,Passenger,23,19,42,12696,12738,0.33
May 31 2017,Essex,NJ,Passenger,1,0,1,17,18,5.56
October 31 2020,Palm Beach,FL,Passenger,1,2,3,80,83,3.61
September 30 2021,Currituck,NC,Passenger,1,0,1,23,24,4.17
October 31 2022,Marion,OR,Passenger,1,0,1,90,91,1.10
December 31 2022,Hennepin,MN,Passenger,1,0,1,50,51,1.96
August 31 2021,Wichita,TX,Passenger,1,0,1,43,44,2.27
May 31 2021,Franklin,OH,Passenger,1,0,1,73,74,1.35
April 30 2024,Shelby,AL,Passenger,2,0,2,3,5,40.00
December 31 2021,Asotin,WA,Passenger,22,17,39,12691,12730,0.31
July 31 2020,Prince William,VA,Passenger,2,4,6,224,230,2.61
March 31 2020,Riverside,CA,Passenger,3,1,4,661,665,0.60
July 31 2017,Nueces,TX,Passenger,0,1,1,94,95,1.05
April 30 2022,Columbia,WA,Truck,0,0,0,1587,1587,0.00
April 30 2017,San Juan,WA,Passenger,98,35,133,13478,13611,0.98
April 30 2018,Essex,NJ,Passenger,1,0,1,13,14,7.14
October 31 2021,Portsmouth,VA,Passenger,0,1,1,76,77,1.30
August 31 2018,Carroll,NH,Passenger,0,1,1,1,2,50.00
February 28 2023,Hennepin,MN,Passenger,1,0,1,46,47,2.13
August 31 2019,Alexandria,VA,Passenger,1,0,1,146,147,0.68
March 31 2019,Boulder,CO,Passenger,1,0,1,49,50,2.00
October 31 2017,Morris,NJ,Passenger,1,0,1,21,22,4.55
November 30 2023,Doña Ana,NM,Passenger,1,0,1,15,16,6.25
October 31 2023,St. Louis,MN,Passenger,0,1,1,4,5,20.00
November 30 2023,Ray,MO,Passenger,0,1,1,0,1,100.00
May 31 2024,Douglas,WA,Truck,14,0,14,12999,13013,0.11
October 31 2021,Harnett,NC,Passenger,1,1,2,168,170,1.18
March 31 2023,Grant,WA,Passenger,255,113,368,66869,67237,0.55
December 31 2019,DeKalb,GA,Passenger,1,0,1,86,87,1.15
January 31 2017,Utah,UT,Passenger,0,1,1,203,204,0.49
August 31 2024,Chesapeake,VA,Passenger,2,0,2,232,234,0.85
February 28 2017,Lee,AL,Passenger,1,0,1,36,37,2.70
September 30 2022,Santa Cruz,CA,Passenger,1,0,1,24,25,4.00
July 31 2021,Denver,CO,Passenger,1,0,1,123,124,0.81
August 31 2021,Sacramento,CA,Passenger,2,1,3,250,253,1.19
November 30 2022,Maui,HI,Passenger,1,0,1,25,26,3.85
February 28 2019,Monroe,IL,Passenger,1,0,1,3,4,25.00
October 31 2022,Chelan,WA,Truck,8,0,8,23055,23063,0.03
December 31 2018,DeKalb,GA,Passenger,1,0,1,81,82,1.22
October 31 2022,Grays Harbor,WA,Truck,2,0,2,21066,21068,0.01
October 31 2022,Montgomery,PA,Passenger,1,0,1,24,25,4.00
May 31 2018,El Paso,CO,Passenger,2,2,4,759,763,0.52
August 31 2023,Norfolk,VA,Passenger,1,2,3,272,275,1.09
May 31 2022,Montgomery,MD,Passenger,4,2,6,219,225,2.67
March 31 2023,Arlington,VA,Passenger,1,0,1,125,126,0.79
April 30 2024,Orange,CA,Passenger,6,2,8,272,280,2.86
April 30 2017,Douglas,OR,Passenger,0,1,1,75,76,1.32
June 30 2021,Sacramento,CA,Passenger,2,1,3,251,254,1.18
March 31 2021,Montgomery,AL,Passenger,1,0,1,40,41,2.44
January 31 2019,Cowlitz,WA,Passenger,79,96,175,72543,72718,0.24
May 31 2018,Norfolk,VA,Passenger,1,2,3,326,329,0.91
March 31 2020,Lewis,WA,Passenger,105,110,215,59192,59407,0.36
February 29 2024,Snohomish,WA,Truck,307,0,307,120139,120446,0.25
September 30 2018,Skamania,WA,Truck,0,0,0,3970,3970,0.00
December 31 2020,Douglas,NE,Passenger,0,1,1,58,59,1.69
September 30 2021,Leavenworth,KS,Passenger,0,1,1,109,110,0.91
July 31 2020,Cascade,MT,Passenger,0,1,1,60,61,1.64
February 28 2023,Eau Claire,WI,Passenger,1,0,1,1,2,50.00
October 31 2018,Riverside,CA,Passenger,2,2,4,694,698,0.57
July 31 2018,Lewis,WA,Passenger,83,61,144,57816,57960,0.25
December 31 2022,Columbia,WA,Passenger,7,1,8,2434,2442,0.33
March 31 2022,Walla Walla,WA,Truck,0,0,0,14024,14024,0.00
April 30 2018,Fairfax,VA,Passenger,3,1,4,826,830,0.48
February 29 2020,Skagit,WA,Truck,1,0,1,32553,32554,0.00
June 30 2023,Maricopa,AZ,Passenger,17,6,23,804,827,2.78
March 31 2017,Cobb,GA,Passenger,0,1,1,81,82,1.22
February 29 2024,Arapahoe,CO,Passenger,2,1,3,64,67,4.48
April 30 2018,Kent,MI,Passenger,0,1,1,34,35,2.86
December 31 2023,Sacramento,CA,Truck,1,0,1,30,31,3.23
August 31 2021,Moore,NC,Passenger,0,1,1,122,123,0.81
August 31 2024,Sarasota,FL,Passenger,1,0,1,15,16,6.25
July 31 2024,Stevens,WA,Truck,6,0,6,18407,18413,0.03
December 31 2020,Dallas,TX,Passenger,1,0,1,190,191,0.52
June 30 2021,Fairbanks North Star,AK,Passenger,0,1,1,92,93,1.08
August 31 2023,Douglas,WA,Truck,7,0,7,13063,13070,0.05
February 28 2022,Benton,WA,Passenger,662,450,1112,135682,136794,0.81
April 30 2021,Prince William,VA,Passenger,1,2,3,219,222,1.35
February 28 2018,Latah,ID,Passenger,0,1,1,80,81,1.23
July 31 2024,Santa Barbara,CA,Passenger,1,0,1,52,53,1.89
April 30 2018,Volusia,FL,Passenger,0,1,1,35,36,2.78
March 31 2024,Otero,NM,Passenger,0,1,1,24,25,4.00
September 30 2018,Multnomah,OR,Passenger,3,4,7,791,798,0.88
March 31 2023,Kittitas,WA,Truck,7,0,7,14554,14561,0.05
October 31 2020,Franklin,WA,Truck,0,0,0,20365,20365,0.00
February 28 2018,Spokane,WA,Passenger,306,263,569,300445,301014,0.19
February 28 2019,Maricopa,AZ,Passenger,5,3,8,1641,1649,0.49
June 30 2021,Wahkiakum,WA,Truck,0,0,0,1795,1795,0.00
October 31 2021,Kittitas,WA,Passenger,192,72,264,29832,30096,0.88
May 31 2019,Loudoun,VA,Passenger,1,0,1,98,99,1.01
March 31 2017,Lewis,NY,Passenger,0,1,1,10,11,9.09
February 28 2018,Lake,CA,Passenger,0,1,1,9,10,10.00
January 31 2018,Queens,NY,Passenger,1,0,1,63,64,1.56
September 30 2017,Kitsap,WA,Passenger,654,346,1000,174287,175287,0.57
February 28 2023,Ferry,WA,Passenger,21,4,25,4340,4365,0.57
October 31 2019,Grant,WA,Passenger,55,64,119,65364,65483,0.18
March 31 2024,Santa Cruz,CA,Passenger,1,0,1,17,18,5.56
January 31 2020,Hudson,NJ,Passenger,1,0,1,40,41,2.44
March 31 2020,Saginaw,MI,Passenger,1,0,1,11,12,8.33
April 30 2024,Caddo,LA,Passenger,2,0,2,11,13,15.38
April 30 2024,Pierce,WA,Passenger,10589,3445,14034,521501,535535,2.62
January 31 2022,Pacific,WA,Passenger,55,63,118,16036,16154,0.73
December 31 2023,Lincoln,WA,Passenger,22,25,47,7614,7661,0.61
May 31 2022,Douglas,CO,Passenger,0,1,1,85,86,1.16
October 31 2019,Riverside,CA,Passenger,4,1,5,663,668,0.75
November 30 2018,New Haven,CT,Passenger,0,1,1,47,48,2.08
September 30 2020,Collin,TX,Passenger,2,1,3,135,138,2.17
January 31 2023,San Bernardino,CA,Passenger,3,1,4,335,339,1.18
March 31 2024,Burlington,NJ,Passenger,0,2,2,71,73,2.74
April 30 2017,Nueces,TX,Passenger,0,1,1,97,98,1.02
September 30 2022,Philadelphia,PA,Passenger,1,0,1,52,53,1.89
April 30 2018,Mercer,NJ,Passenger,0,1,1,18,19,5.26
September 30 2022,Kootenai,ID,Passenger,0,1,1,161,162,0.62
October 31 2017,Franklin,WA,Truck,0,0,0,18319,18319,0.00
December 31 2018,Washoe,NV,Passenger,2,0,2,115,117,1.71
January 31 2021,Mason,WA,Truck,0,0,0,21010,21010,0.00
July 31 2018,Collin,TX,Passenger,1,0,1,173,174,0.57
September 30 2017,Clark,WA,Passenger,810,542,1352,301357,302709,0.45
November 30 2019,Skamania,WA,Passenger,26,20,46,8779,8825,0.52
February 28 2021,Anne Arundel,MD,Passenger,2,1,3,393,396,0.76
September 30 2023,Skamania,WA,Passenger,121,55,176,8037,8213,2.14
September 30 2020,Allegheny,PA,Passenger,2,0,2,81,83,2.41
June 30 2020,Clackamas,OR,Passenger,2,0,2,205,207,0.97
September 30 2019,Fairbanks North Star,AK,Passenger,0,1,1,99,100,1.00
March 31 2019,Wayne,MI,Passenger,0,1,1,70,71,1.41
May 31 2022,Ventura,CA,Passenger,1,3,4,261,265,1.51
January 31 2020,Grays Harbor,WA,Truck,0,0,0,20821,20821,0.00
January 31 2020,Palm Beach,FL,Passenger,0,2,2,88,90,2.22
May 31 2019,Lincoln,WA,Passenger,3,8,11,7769,7780,0.14
August 31 2018,Columbia,WA,Passenger,2,2,4,2414,2418,0.17
January 31 2017,Lee,AL,Passenger,1,0,1,36,37,2.70
September 30 2022,Leavenworth,KS,Passenger,0,1,1,92,93,1.08
March 31 2020,Hillsborough,FL,Passenger,0,1,1,191,192,0.52
August 31 2019,Maui,HI,Passenger,2,0,2,45,47,4.26
July 31 2024,Wake,NC,Passenger,3,0,3,63,66,4.55
May 31 2024,Virginia Beach,VA,Truck,1,0,1,96,97,1.03
July 31 2017,Carroll,NH,Passenger,0,1,1,1,2,50.00
January 31 2021,Powhatan,VA,Passenger,1,0,1,2,3,33.33
June 30 2020,Santa Cruz,CA,Passenger,1,0,1,34,35,2.86
August 31 2023,Marion,IA,Passenger,1,0,1,0,1,100.00
November 30 2021,Kittitas,WA,Truck,0,0,0,14807,14807,0.00
June 30 2019,New Haven,CT,Passenger,0,2,2,47,49,4.08
April 30 2023,Walla Walla,WA,Passenger,213,114,327,35401,35728,0.92
January 31 2019,Multnomah,OR,Passenger,3,5,8,790,798,1.00
August 31 2019,Tarrant,TX,Passenger,3,0,3,207,210,1.43
March 31 2017,Okanogan,WA,Truck,0,0,0,16301,16301,0.00
August 31 2017,San Juan,WA,Passenger,113,39,152,13641,13793,1.10
December 31 2019,Fairbanks North Star,AK,Passenger,0,1,1,101,102,0.98
December 31 2021,Ada,ID,Passenger,2,0,2,216,218,0.92
January 31 2022,San Mateo,CA,Passenger,3,0,3,92,95,3.16
September 30 2022,Pulaski,AR,Passenger,1,0,1,31,32,3.12
January 31 2022,Philadelphia,PA,Passenger,1,0,1,47,48,2.08
February 29 2024,Cache,UT,Passenger,1,0,1,9,10,10.00
December 31 2018,Bergen,NJ,Passenger,1,0,1,27,28,3.57
August 31 2017,Snohomish,WA,Truck,1,0,1,121664,121665,0.00
August 31 2018,Maricopa,AZ,Passenger,1,2,3,1645,1648,0.18
March 31 2017,Stevens,WA,Passenger,6,20,26,31279,31305,0.08
August 31 2021,Grays Harbor,WA,Passenger,177,147,324,49470,49794,0.65
April 30 2019,Santa Clara,CA,Passenger,8,1,9,375,384,2.34
May 31 2022,Moore,NC,Passenger,0,1,1,115,116,0.86
June 30 2024,Essex,NJ,Passenger,2,1,3,6,9,33.33
September 30 2021,San Francisco,CA,Passenger,1,2,3,99,102,2.94
January 31 2023,Montgomery,MD,Passenger,4,3,7,202,209,3.35
June 30 2023,Churchill,NV,Passenger,0,1,1,37,38,2.63
December 31 2023,Maui,HI,Passenger,1,0,1,20,21,4.76
December 31 2023,Spotsylvania,VA,Passenger,0,1,1,23,24,4.17
February 28 2021,Goochland,VA,Passenger,4,3,7,262,269,2.60
April 30 2021,King,WA,Truck,6,1,7,184850,184857,0.00
April 30 2017,Columbia,WA,Truck,0,0,0,1537,1537,0.00
March 31 2018,Sacramento,CA,Passenger,1,1,2,312,314,0.64
July 31 2019,Sedgwick,KS,Passenger,1,1,2,102,104,1.92
December 31 2018,Mason,WA,Passenger,107,108,215,46453,46668,0.46
August 31 2018,Honolulu,HI,Passenger,1,2,3,542,545,0.55
December 31 2022,Burlington,NJ,Passenger,0,2,2,99,101,1.98
April 30 2022,Carroll,NH,Passenger,0,1,1,4,5,20.00
November 30 2022,Lee,FL,Passenger,1,0,1,35,36,2.78
July 31 2021,Flathead,MT,Passenger,2,0,2,51,53,3.77
July 31 2020,Kent,MI,Passenger,0,1,1,28,29,3.45
May 31 2017,Prince William,VA,Passenger,0,4,4,275,279,1.43
July 31 2019,Island,WA,Truck,0,0,0,21299,21299,0.00
September 30 2022,Currituck,NC,Passenger,1,0,1,19,20,5.00
March 31 2022,Maricopa,AZ,Passenger,13,4,17,1178,1195,1.42
February 29 2020,Grant,WA,Truck,0,0,0,27056,27056,0.00
July 31 2019,Manatee,FL,Passenger,1,0,1,35,36,2.78
March 31 2020,Twin Falls,ID,Passenger,0,1,1,31,32,3.12
December 31 2023,Hamilton,OH,Passenger,1,0,1,29,30,3.33
December 31 2017,Sedgwick,KS,Passenger,0,1,1,109,110,0.91
January 31 2023,Rockingham,NH,Passenger,1,0,1,15,16,6.25
July 31 2022,Geary,KS,Passenger,1,0,1,86,87,1.15
April 30 2024,Island,WA,Passenger,1428,527,1955,60822,62777,3.11
December 31 2019,Lincoln,WA,Truck,0,0,0,4680,4680,0.00
September 30 2020,Douglas,NE,Passenger,0,1,1,55,56,1.79
December 31 2019,Cowlitz,WA,Passenger,118,107,225,73623,73848,0.30
April 30 2020,Middlesex,MA,Passenger,1,0,1,99,100,1.00
February 29 2020,Newport,RI,Passenger,0,1,1,86,87,1.15
October 31 2023,Churchill,NV,Passenger,0,1,1,34,35,2.86
September 30 2020,Moore,NC,Passenger,0,1,1,157,158,0.63
October 31 2019,Penobscot,ME,Passenger,0,1,1,13,14,7.14
September 30 2021,Ulster,NY,Passenger,1,0,1,13,14,7.14
October 31 2018,Caddo,LA,Passenger,0,1,1,27,28,3.57
January 31 2018,Pinal,AZ,Passenger,2,0,2,215,217,0.92
November 30 2019,Cowlitz,WA,Truck,0,0,0,29024,29024,0.00
April 30 2020,Riverside,CA,Passenger,3,1,4,651,655,0.61
January 31 2021,Grays Harbor,WA,Passenger,133,126,259,48756,49015,0.53
July 31 2022,Rockingham,NH,Passenger,1,0,1,18,19,5.26
April 30 2023,Tooele,UT,Passenger,1,0,1,10,11,9.09
July 31 2024,Otero,NM,Passenger,0,1,1,21,22,4.55
April 30 2024,Marion,IA,Passenger,1,0,1,0,1,100.00
February 28 2022,Island,WA,Passenger,744,349,1093,62148,63241,1.73
December 31 2020,Garfield,WA,Truck,0,0,0,994,994,0.00
September 30 2023,King,WA,Truck,860,2,862,174118,174980,0.49
September 30 2023,Cowlitz,WA,Truck,10,0,10,28036,28046,0.04
October 31 2017,Island,WA,Passenger,138,154,292,61045,61337,0.48
May 31 2017,Douglas,WA,Passenger,32,23,55,26680,26735,0.21
August 31 2019,Grant,WA,Truck,0,0,0,26732,26732,0.00
December 31 2017,Prince George,VA,Passenger,0,1,1,73,74,1.35
May 31 2022,Saratoga,NY,Passenger,1,0,1,43,44,2.27
March 31 2018,Orleans,LA,Passenger,0,1,1,45,46,2.17
August 31 2019,Frederick,MD,Passenger,1,1,2,77,79,2.53
May 31 2024,Snohomish,WA,Truck,361,0,361,119385,119746,0.30
March 31 2022,Klickitat,WA,Passenger,95,54,149,15314,15463,0.96
January 31 2018,Kittitas,WA,Truck,0,0,0,13877,13877,0.00
November 30 2017,Polk,FL,Passenger,1,0,1,66,67,1.49
April 30 2022,New York,NY,Passenger,2,0,2,47,49,4.08
April 30 2018,Flathead,MT,Passenger,1,0,1,58,59,1.69
June 30 2022,Lexington,SC,Passenger,1,0,1,23,24,4.17
February 28 2022,Collier,FL,Passenger,1,0,1,18,19,5.26
July 31 2020,Skamania,WA,Passenger,31,20,51,8417,8468,0.60
December 31 2023,Grays Harbor,WA,Passenger,376,223,599,48035,48634,1.23
June 30 2020,Thurston,WA,Truck,0,0,0,55711,55711,0.00
May 31 2024,Grant,WA,Passenger,434,188,622,67463,68085,0.91
December 31 2021,Clallam,WA,Truck,1,0,1,22102,22103,0.00
January 31 2021,Wahkiakum,WA,Passenger,7,6,13,3039,3052,0.43
July 31 2021,Boone,MO,Passenger,0,1,1,10,11,9.09
January 31 2017,Prince George's,MD,Passenger,0,1,1,188,189,0.53
December 31 2021,Yavapai,AZ,Passenger,0,1,1,40,41,2.44
September 30 2021,Okaloosa,FL,Passenger,0,1,1,120,121,0.83
June 30 2023,Dorchester,SC,Passenger,1,0,1,47,48,2.08
August 31 2020,Powhatan,VA,Passenger,1,0,1,1,2,50.00
July 31 2021,Collier,FL,Passenger,1,0,1,20,21,4.76
September 30 2022,Williamson,TX,Passenger,0,2,2,85,87,2.30
January 31 2017,Yakima,WA,Passenger,36,49,85,159913,159998,0.05
May 31 2021,Vigo,IN,Passenger,1,0,1,5,6,16.67
February 29 2020,Frederick,MD,Passenger,1,1,2,75,77,2.60
September 30 2018,Prince George's,MD,Passenger,1,1,2,183,185,1.08
March 31 2023,St. Louis,MN,Passenger,0,1,1,8,9,11.11
June 30 2023,Washington,OR,Passenger,1,0,1,254,255,0.39
March 31 2021,Alexandria,VA,Passenger,3,0,3,133,136,2.21
August 31 2024,Stafford,VA,Passenger,3,0,3,59,62,4.84
March 31 2017,Mercer,NJ,Passenger,0,1,1,19,20,5.00
August 31 2022,Cass,MN,Passenger,0,1,1,3,4,25.00
November 30 2023,Carroll,MD,Passenger,0,1,1,17,18,5.56
September 30 2017,Nantucket,MA,Passenger,1,0,1,3,4,25.00
February 28 2023,Jefferson,WA,Truck,9,0,9,9328,9337,0.10
December 31 2019,Harnett,NC,Passenger,1,1,2,211,213,0.94
May 31 2017,Pend Oreille,WA,Truck,0,0,0,5564,5564,0.00
March 31 2021,Cumberland,NC,Passenger,1,2,3,452,455,0.66
August 31 2024,Ada,ID,Passenger,2,0,2,73,75,2.67
January 31 2022,Lake,FL,Passenger,1,0,1,25,26,3.85
February 28 2021,Tarrant,TX,Passenger,1,0,1,170,171,0.58
July 31 2017,Klickitat,WA,Truck,0,0,0,7944,7944,0.00
May 31 2019,Lincoln,WA,Truck,0,0,0,4695,4695,0.00
June 30 2020,New Haven,CT,Passenger,0,2,2,37,39,5.13
May 31 2020,Flathead,MT,Passenger,1,0,1,69,70,1.43
May 31 2024,Placer,CA,Passenger,1,0,1,58,59,1.69
July 31 2021,Boulder,CO,Passenger,1,1,2,48,50,4.00
September 30 2018,Manassas,VA,Passenger,0,1,1,9,10,10.00
May 31 2023,Hamilton,OH,Truck,1,0,1,4,5,20.00
July 31 2017,Lewis,WA,Passenger,52,38,90,55562,55652,0.16
March 31 2023,Thurston,WA,Passenger,2825,1172,3997,190412,194409,2.06
October 31 2018,Benton,WA,Truck,0,0,0,41420,41420,0.00
April 30 2022,Pinal,AZ,Passenger,0,1,1,138,139,0.72
March 31 2024,Frederick,MD,Passenger,1,1,2,44,46,4.35
May 31 2024,San Joaquin,CA,Passenger,1,0,1,63,64,1.56
April 30 2019,Rogers,OK,Passenger,1,0,1,7,8,12.50
July 31 2024,Pitt,NC,Passenger,0,1,1,5,6,16.67
July 31 2020,Penobscot,ME,Passenger,0,1,1,14,15,6.67
January 31 2020,Clark,WA,Passenger,1940,1055,2995,319857,322852,0.93
July 31 2019,Tarrant,TX,Passenger,3,0,3,207,210,1.43
November 30 2018,Stevens,WA,Truck,0,0,0,18724,18724,0.00
February 28 2017,Virginia Beach,VA,Passenger,2,1,3,646,649,0.46
August 31 2018,Jefferson,CO,Passenger,0,1,1,61,62,1.61
March 31 2018,Honolulu,HI,Passenger,2,2,4,562,566,0.71
March 31 2020,Ventura,CA,Passenger,0,2,2,311,313,0.64
August 31 2024,Santa Clara,CA,Passenger,10,1,11,124,135,8.15
June 30 2018,Tulsa,OK,Passenger,0,1,1,55,56,1.79
January 31 2018,Dallas,TX,Passenger,0,1,1,196,197,0.51
December 31 2022,Essex,NJ,Passenger,2,0,2,11,13,15.38
August 31 2019,Loudoun,VA,Passenger,1,0,1,96,97,1.03
April 30 2024,Doña Ana,NM,Passenger,1,0,1,12,13,7.69
May 31 2023,Hawaii,HI,Passenger,1,0,1,33,34,2.94
June 30 2021,Powhatan,VA,Passenger,1,0,1,1,2,50.00
September 30 2021,Pierce,WA,Passenger,3875,2063,5938,558227,564165,1.05
August 31 2024,Duval,FL,Passenger,1,0,1,179,180,0.56
October 31 2022,Douglas,NE,Passenger,2,2,4,41,45,8.89
January 31 2019,Mason,WA,Truck,0,0,0,20214,20214,0.00
June 30 2018,Mason,WA,Truck,0,0,0,19950,19950,0.00
December 31 2023,Cowlitz,WA,Truck,13,0,13,27958,27971,0.05
February 28 2019,Garfield,WA,Passenger,1,1,2,1323,1325,0.15
July 31 2017,Orange,FL,Passenger,1,1,2,131,133,1.50
September 30 2017,Snohomish,WA,Truck,1,0,1,121519,121520,0.00
August 31 2018,Charles,MD,Passenger,0,1,1,85,86,1.16
May 31 2024,Charles,MD,Passenger,1,1,2,48,50,4.00
April 30 2018,Williamson,TX,Passenger,0,1,1,165,166,0.60
August 31 2024,Harford,MD,Passenger,2,1,3,38,41,7.32
January 31 2023,Berkeley,SC,Passenger,0,1,1,118,119,0.84
August 31 2021,Anchorage,AK,Passenger,1,0,1,151,152,0.66
March 31 2020,Larimer,CO,Passenger,1,0,1,52,53,1.89
July 31 2021,Penobscot,ME,Passenger,0,1,1,8,9,11.11
February 28 2019,Snohomish,WA,Passenger,3145,1498,4643,527487,532130,0.87
January 31 2023,Clallam,WA,Truck,9,0,9,21839,21848,0.04
January 31 2023,Cook,IL,Passenger,2,0,2,192,194,1.03
January 31 2024,Franklin,WA,Passenger,394,169,563,62366,62929,0.89
October 31 2018,Klickitat,WA,Passenger,24,32,56,15384,15440,0.36
September 30 2021,Spartanburg,SC,Passenger,0,1,1,49,50,2.00
April 30 2020,Harris,TX,Passenger,1,0,1,277,278,0.36
December 31 2020,Harford,MD,Passenger,0,1,1,60,61,1.64
May 31 2023,Eagle,CO,Passenger,1,0,1,6,7,14.29
August 31 2020,Monroe,IL,Passenger,1,0,1,3,4,25.00
December 31 2021,Hanover,VA,Passenger,1,0,1,1,2,50.00
March 31 2024,Grant,WA,Truck,21,0,21,28036,28057,0.07
March 31 2017,Yakima,WA,Passenger,36,50,86,159209,159295,0.05
May 31 2022,King,WA,Passenger,39977,11042,51019,1345912,1396931,3.65
October 31 2019,Franklin,WA,Truck,0,0,0,19650,19650,0.00
September 30 2017,Hamilton,IN,Passenger,1,0,1,58,59,1.69
February 28 2018,Chelan,WA,Passenger,94,39,133,53232,53365,0.25
April 30 2020,Los Angeles,CA,Passenger,6,12,18,1058,1076,1.67
April 30 2021,Williamson,TX,Passenger,0,2,2,129,131,1.53
February 29 2024,Pinal,AZ,Passenger,2,1,3,74,77,3.90
December 31 2023,Mobile,AL,Passenger,1,0,1,27,28,3.57
April 30 2024,Moore,NC,Passenger,0,1,1,96,97,1.03
July 31 2021,Wilson,TX,Passenger,0,1,1,4,5,20.00
August 31 2017,Bexar,TX,Passenger,1,1,2,860,862,0.23
March 31 2023,Maricopa,AZ,Passenger,17,5,22,864,886,2.48
December 31 2019,Pacific,WA,Truck,0,0,0,7716,7716,0.00
January 31 2024,Orange,FL,Passenger,2,0,2,49,51,3.92
September 30 2020,Benton,WA,Passenger,393,329,722,134315,135037,0.53
July 31 2020,Okanogan,WA,Passenger,37,34,71,25910,25981,0.27
August 31 2023,Tarrant,TX,Passenger,2,0,2,91,93,2.15
June 30 2023,Burlington,NJ,Passenger,2,2,4,88,92,4.35
May 31 2019,Norfolk,MA,Passenger,1,0,1,39,40,2.50
September 30 2023,Hardin,KY,Passenger,1,0,1,59,60,1.67
November 30 2018,Beaufort,SC,Passenger,1,0,1,38,39,2.56
January 31 2022,Clark,WA,Passenger,3541,1569,5110,319129,324239,1.58
October 31 2017,Okaloosa,FL,Passenger,1,0,1,187,188,0.53
August 31 2020,Adams,WA,Passenger,9,7,16,12858,12874,0.12
February 28 2019,Benton,WA,Truck,0,0,0,41541,41541,0.00
May 31 2022,Bell,TX,Passenger,1,0,1,341,342,0.29
February 28 2021,Benton,WA,Passenger,458,362,820,135000,135820,0.60
August 31 2019,Los Angeles,CA,Passenger,6,6,12,1143,1155,1.04
March 31 2020,Charles,MD,Passenger,0,1,1,78,79,1.27
July 31 2019,Collin,TX,Passenger,2,1,3,153,156,1.92
July 31 2018,Maui,HI,Passenger,1,0,1,57,58,1.72
December 31 2017,Lee,AL,Passenger,1,0,1,37,38,2.63
August 31 2019,Flathead,MT,Passenger,1,0,1,72,73,1.37
August 31 2022,Okaloosa,FL,Passenger,0,1,1,105,106,0.94
June 30 2019,Douglas,WA,Passenger,57,37,94,28023,28117,0.33
July 31 2023,St. Mary's,MD,Passenger,2,0,2,179,181,1.10
March 31 2017,Latah,ID,Passenger,0,1,1,125,126,0.79
November 30 2022,Sacramento,CA,Passenger,2,1,3,226,229,1.31
August 31 2024,Salt Lake,UT,Passenger,3,0,3,81,84,3.57
February 28 2023,Kings,CA,Passenger,2,1,3,299,302,0.99
June 30 2021,Norfolk,VA,Passenger,2,3,5,316,321,1.56
April 30 2019,Lewis,WA,Passenger,95,93,188,58809,58997,0.32
April 30 2019,Maricopa,AZ,Passenger,5,4,9,1632,1641,0.55
September 30 2021,King,WA,Passenger,32860,9685,42545,1364159,1406704,3.02
February 28 2022,Walla Walla,WA,Passenger,152,90,242,36196,36438,0.66
September 30 2023,Goochland,VA,Passenger,2,2,4,59,63,6.35
